2020-10-31T15:47:22.18,webstorm64.exe,WebStorm
2020-10-31T15:50:45.98,chrome.exe,Google Chrome
2020-10-31T15:52:31.64,explorer.exe,Windows Explorer
2020-10-31T15:53:35.21,chrome.exe,Google Chrome
2020-10-31T15:53:47.14,explorer.exe,Windows Explorer
2020-10-31T15:53:58.73,chrome.exe,Google Chrome
2020-10-31T15:54:34.1,explorer.exe,Windows Explorer
2020-10-31T15:54:49.05,chrome.exe,Google Chrome
2020-10-31T15:59:03.77,explorer.exe,Windows Explorer
2020-10-31T15:59:28.55,webstorm64.exe,WebStorm
2020-10-31T16:01:36.55,chrome.exe,Google Chrome
2020-10-31T16:02:43.89,explorer.exe,Windows Explorer
2020-10-31T16:02:52.81,webstorm64.exe,WebStorm
2020-10-31T16:03:26.24,chrome.exe,Google Chrome
2020-10-31T16:03:48.86,explorer.exe,Windows Explorer
2020-10-31T16:03:55.01,webstorm64.exe,WebStorm
2020-10-31T16:05:49.61,chrome.exe,Google Chrome
2020-10-31T16:06:26.98,explorer.exe,Windows Explorer
2020-10-31T16:06:31.94,webstorm64.exe,WebStorm
2020-10-31T16:06:50.49,chrome.exe,Google Chrome
2020-10-31T16:07:02.92,explorer.exe,Windows Explorer
2020-10-31T16:07:06.27,webstorm64.exe,WebStorm
2020-10-31T16:07:18.37,chrome.exe,Google Chrome
2020-10-31T16:07:34.33,explorer.exe,Windows Explorer
2020-10-31T16:07:37.5,webstorm64.exe,WebStorm
2020-10-31T16:07:52.3,chrome.exe,Google Chrome
2020-10-31T16:08:03.86,explorer.exe,Windows Explorer
2020-10-31T16:08:07.03,webstorm64.exe,WebStorm
2020-10-31T16:08:39.88,chrome.exe,Google Chrome
2020-10-31T16:09:14.51,explorer.exe,Windows Explorer
2020-10-31T16:09:17.3,webstorm64.exe,WebStorm
2020-10-31T16:09:55.78,chrome.exe,Google Chrome
2020-10-31T16:10:03.66,explorer.exe,Windows Explorer
2020-10-31T16:10:06.55,webstorm64.exe,WebStorm
2020-10-31T16:10:49.31,chrome.exe,Google Chrome
2020-10-31T16:11:12.39,explorer.exe,Windows Explorer
2020-10-31T16:11:31.41,chrome.exe,Google Chrome
2020-10-31T16:13:17.31,explorer.exe,Windows Explorer
2020-10-31T16:14:08.88,webstorm64.exe,WebStorm
2020-10-31T16:15:11.86,chrome.exe,Google Chrome
2020-10-31T16:15:27.36,explorer.exe,Windows Explorer
2020-10-31T16:15:31.98,webstorm64.exe,WebStorm
2020-10-31T16:17:53,chrome.exe,Google Chrome
2020-10-31T16:18:01.41,explorer.exe,Windows Explorer
2020-10-31T16:18:04.1,webstorm64.exe,WebStorm
2020-10-31T16:18:06.01,explorer.exe,Windows Explorer
2020-10-31T16:18:07.07,webstorm64.exe,WebStorm
2020-10-31T16:18:20.77,chrome.exe,Google Chrome
